Step,Time,Norm_diffusion,Norm_projection,dt,CFL
1,0.2,0.337821,0.00865712,0.1,0.0110485
2,0.3,0.331177,0.0127483,0.1,0.0114928
3,0.4,0.332513,0.00666122,0.1,0.0118637
4,0.5,0.338167,0.00784771,0.1,0.0113476
5,0.6,0.349433,0.00527354,0.1,0.011104
6,0.7,0.363129,0.00773878,0.1,0.0109926
7,0.8,0.377187,0.00536318,0.1,0.0110875
8,0.9,0.389635,0.00761903,0.1,0.0110892
9,1,0.39838,0.00636036,0.1,0.0110984
10,1.1,0.402715,0.00770669,0.1,0.0111119
11,1.2,0.401773,0.00754678,0.1,0.0111203
12,1.3,0.395882,0.00758915,0.1,0.0111178
13,1.4,0.385654,0.0080194,0.1,0.0111115
14,1.5,0.372445,0.00701281,0.1,0.0111024
15,1.6,0.358158,0.00737208,0.1,0.0110763
16,1.7,0.345024,0.00647173,0.1,0.011058
17,1.8,0.335412,0.00626986,0.1,0.0112335
18,1.9,0.331164,0.00605519,0.1,0.0116327
19,2,0.333211,0.00570521,0.1,0.0116978
1,0.1,0.364095,0.00784465,0.05,0.0110485
2,0.15,0.357592,0.0115416,0.05,0.0111592
3,0.2,0.352898,0.00473346,0.05,0.011298
4,0.25,0.348998,0.00469373,0.05,0.0114928
5,0.3,0.346818,0.00268559,0.05,0.011744
6,0.35,0.346256,0.00363205,0.05,0.0118649
7,0.4,0.347376,0.00252783,0.05,0.0115905
8,0.45,0.350183,0.00308507,0.05,0.0113722
9,0.5,0.354414,0.00303169,0.05,0.0112101
10,0.55,0.359954,0.00292806,0.05,0.011104
11,0.6,0.366451,0.00345262,0.05,0.0110533
12,0.65,0.373645,0.00296571,0.05,0.0110493
13,0.7,0.381208,0.00367301,0.05,0.0110596
14,0.75,0.388809,0.00319221,0.05,0.0110592
15,0.8,0.396185,0.00378631,0.05,0.0110593
16,0.85,0.403023,0.00363977,0.05,0.0110598
17,0.9,0.409124,0.00387338,0.05,0.0110608
18,0.95,0.414251,0.00415617,0.05,0.0110624
19,1,0.418262,0.00395407,0.05,0.0110643
20,1.05,0.421021,0.0045017,0.05,0.0110659
21,1.1,0.422442,0.00407152,0.05,0.0110669
22,1.15,0.422495,0.00457255,0.05,0.0110672
23,1.2,0.421158,0.00428239,0.05,0.0110669
24,1.25,0.418491,0.00441493,0.05,0.0110663
25,1.3,0.414557,0.00443406,0.05,0.0110655
26,1.35,0.409491,0.00411169,0.05,0.0110646
27,1.4,0.403448,0.00429097,0.05,0.0110635
28,1.45,0.396631,0.00381971,0.05,0.0110624
29,1.5,0.389281,0.00389561,0.05,0.0110611
30,1.55,0.381664,0.00363336,0.05,0.0110599
31,1.6,0.374083,0.0035001,0.05,0.0110509
32,1.65,0.366849,0.00345992,0.05,0.011058
33,1.7,0.360284,0.00329558,0.05,0.0111179
34,1.75,0.354692,0.00329776,0.05,0.0112335
35,1.8,0.350352,0.00323106,0.05,0.011405
36,1.85,0.347486,0.00320177,0.05,0.0116327
37,1.9,0.346247,0.00317757,0.05,0.0119165
38,1.95,0.346701,0.0031431,0.05,0.0116978
39,2,0.348823,0.00310657,0.05,0.0114561
1,0.05,0.418436,0.00734028,0.025,0.0110485
2,0.075,0.414129,0.0107645,0.025,0.0110762
3,0.1,0.410317,0.00385763,0.025,0.0111107
4,0.125,0.40659,0.00312693,0.025,0.0111592
5,0.15,0.403201,0.00170121,0.025,0.0112216
6,0.175,0.40016,0.0018241,0.025,0.011298
7,0.2,0.397506,0.00137223,0.025,0.0113884
8,0.225,0.395289,0.00131129,0.025,0.0114928
9,0.25,0.393516,0.00142387,0.025,0.0116114
10,0.275,0.392227,0.00117721,0.025,0.011744
11,0.3,0.391432,0.00137638,0.025,0.0118905
12,0.325,0.391144,0.00120975,0.025,0.0118649
13,0.35,0.391368,0.00129662,0.025,0.0117207
14,0.375,0.392098,0.00128536,0.025,0.0115905
15,0.4,0.393327,0.00126087,0.025,0.0114743
16,0.425,0.395036,0.00133485,0.025,0.0113722
17,0.45,0.397202,0.0012752,0.025,0.0112841
18,0.475,0.399797,0.00135206,0.025,0.0112101
19,0.5,0.402785,0.00132145,0.025,0.0111501
20,0.525,0.40613,0.00135844,0.025,0.011104
21,0.55,0.409788,0.00137639,0.025,0.0110717
22,0.575,0.413716,0.00137186,0.025,0.0110533
23,0.6,0.417866,0.00142169,0.025,0.0110486
24,0.625,0.422191,0.00140057,0.025,0.0110501
25,0.65,0.426645,0.0014518,0.025,0.0110514
26,0.675,0.431177,0.00144422,0.025,0.0110511
27,0.7,0.435743,0.00147228,0.025,0.0110511
28,0.725,0.440294,0.00149337,0.025,0.0110513
29,0.75,0.444789,0.00149343,0.025,0.0110513
30,0.775,0.449182,0.0015354,0.025,0.0110513
31,0.8,0.453436,0.001524,0.025,0.0110514
32,0.825,0.457511,0.00156453,0.025,0.0110514
33,0.85,0.461372,0.00156484,0.025,0.0110516
34,0.875,0.464987,0.00158511,0.025,0.0110517
35,0.9,0.468326,0.00160739,0.025,0.0110519
36,0.925,0.471362,0.00160669,0.025,0.0110522
37,0.95,0.47407,0.00164147,0.025,0.0110524
38,0.975,0.476429,0.00163595,0.025,0.0110527
39,1,0.478422,0.00166454,0.025,0.0110529
40,1.025,0.480033,0.00167091,0.025,0.0110531
41,1.05,0.481251,0.00168249,0.025,0.0110532
42,1.075,0.482065,0.00170325,0.025,0.0110533
43,1.1,0.48247,0.00170304,0.025,0.0110533
44,1.125,0.482463,0.00172712,0.025,0.0110533
45,1.15,0.482043,0.00172841,0.025,0.0110533
46,1.175,0.481215,0.00174414,0.025,0.0110532
47,1.2,0.479983,0.00175411,0.025,0.0110532
48,1.225,0.478358,0.00175993,0.025,0.0110531
49,1.25,0.476351,0.00177483,0.025,0.011053
50,1.275,0.473977,0.00177759,0.025,0.0110529
51,1.3,0.471256,0.00178988,0.025,0.0110528
52,1.325,0.468207,0.00179534,0.025,0.0110526
53,1.35,0.464855,0.00180217,0.025,0.0110525
54,1.375,0.461228,0.00180995,0.025,0.0110524
55,1.4,0.457355,0.00181371,0.025,0.0110522
56,1.425,0.453269,0.0018205,0.025,0.0110521
57,1.45,0.449006,0.00182392,0.025,0.011052
58,1.475,0.444604,0.00182808,0.025,0.0110518
59,1.5,0.440103,0.00183137,0.025,0.0110517
60,1.525,0.435547,0.00183348,0.025,0.0110516
61,1.55,0.430978,0.00183564,0.025,0.0110514
62,1.575,0.426445,0.00183649,0.025,0.0110506
63,1.6,0.421993,0.001837,0.025,0.0110487
64,1.625,0.417671,0.00183669,0.025,0.011058
65,1.65,0.413527,0.00183564,0.025,0.011081
66,1.675,0.409609,0.00183395,0.025,0.0111179
67,1.7,0.405962,0.00183148,0.025,0.0111687
68,1.725,0.402633,0.00182833,0.025,0.0112335
69,1.75,0.399661,0.00182444,0.025,0.0113122
70,1.775,0.397085,0.00181984,0.025,0.011405
71,1.8,0.39494,0.00181453,0.025,0.0115118
72,1.825,0.393254,0.0018085,0.025,0.0116327
73,1.85,0.39205,0.00180176,0.025,0.0117676
74,1.875,0.391344,0.00179434,0.025,0.0119165
75,1.9,0.391147,0.00178621,0.025,0.0118397
76,1.925,0.39146,0.0017774,0.025,0.0116978
77,1.95,0.39228,0.00176793,0.025,0.01157
78,1.975,0.393595,0.00175779,0.025,0.0114561
79,2,0.395387,0.001747,0.025,0.0113564
1,0.025,0.56101,0.00677823,0.0125,0.0110485
2,0.0375,0.557809,0.00985004,0.0125,0.0110554
3,0.05,0.554778,0.00314031,0.0125,0.0110641
4,0.0625,0.551765,0.00218046,0.0125,0.0110762
5,0.075,0.548836,0.00111605,0.0125,0.0110917
6,0.0875,0.546005,0.000949963,0.0125,0.0111107
7,0.1,0.543274,0.000775591,0.0125,0.0111332
8,0.1125,0.540655,0.000647891,0.0125,0.0111592
9,0.125,0.538154,0.000725665,0.0125,0.0111887
10,0.1375,0.535779,0.000627773,0.0125,0.0112216
11,0.15,0.533539,0.000665068,0.0125,0.011258
12,0.1625,0.531439,0.00064996,0.0125,0.011298
13,0.175,0.529488,0.000640244,0.0125,0.0113414
14,0.1875,0.527692,0.000658501,0.0125,0.0113884
15,0.2,0.526057,0.000645069,0.0125,0.0114388
16,0.2125,0.524588,0.000656848,0.0125,0.0114928
17,0.225,0.523291,0.00065598,0.0125,0.0115504
18,0.2375,0.522171,0.000657635,0.0125,0.0116114
19,0.25,0.52123,0.000663705,0.0125,0.0116759
20,0.2625,0.520474,0.000663445,0.0125,0.011744
21,0.275,0.519903,0.000669106,0.0125,0.0118155
22,0.2875,0.519521,0.000671303,0.0125,0.0118905
23,0.3,0.519328,0.000674885,0.0125,0.0119421
24,0.3125,0.519326,0.000679034,0.0125,0.0118649
25,0.325,0.519514,0.000681983,0.0125,0.0117911
26,0.3375,0.519891,0.00068645,0.0125,0.0117207
27,0.35,0.520457,0.00068996,0.0125,0.0116538
28,0.3625,0.52121,0.000694096,0.0125,0.0115905
29,0.375,0.522146,0.000698258,0.0125,0.0115306
30,0.3875,0.523262,0.00070227,0.0125,0.0114743
31,0.4,0.524554,0.00070671,0.0125,0.0114215
32,0.4125,0.526019,0.000710912,0.0125,0.0113722
33,0.425,0.52765,0.000715393,0.0125,0.0113264
34,0.4375,0.529442,0.000719862,0.0125,0.0112841
35,0.45,0.531389,0.000724374,0.0125,0.0112454
36,0.4625,0.533484,0.000729027,0.0125,0.0112101
37,0.475,0.535721,0.00073364,0.0125,0.0111784
38,0.4875,0.538092,0.000738385,0.0125,0.0111501
39,0.5,0.54059,0.000743131,0.0125,0.0111253
40,0.5125,0.543206,0.000747935,0.0125,0.011104
41,0.525,0.545932,0.000752793,0.0125,0.0110861
42,0.5375,0.54876,0.00075766,0.0125,0.0110717
43,0.55,0.551682,0.000762591,0.0125,0.0110608
44,0.5625,0.554688,0.000767526,0.0125,0.0110533
45,0.575,0.55777,0.000772502,0.0125,0.0110493
46,0.5875,0.560918,0.000777497,0.0125,0.0110486
47,0.6,0.564125,0.000782505,0.0125,0.0110489
48,0.6125,0.56738,0.00078754,0.0125,0.011049
49,0.625,0.570676,0.000792574,0.0125,0.0110491
50,0.6375,0.574002,0.000797627,0.0125,0.0110492
51,0.65,0.577351,0.000802681,0.0125,0.0110492
52,0.6625,0.580714,0.000807736,0.0125,0.0110492
53,0.675,0.584082,0.000812795,0.0125,0.0110492
54,0.6875,0.587446,0.000817844,0.0125,0.0110492
55,0.7,0.590799,0.000822892,0.0125,0.0110492
56,0.7125,0.594132,0.000827927,0.0125,0.0110492
57,0.725,0.597438,0.00083295,0.0125,0.0110492
58,0.7375,0.600708,0.000837958,0.0125,0.0110492
59,0.75,0.603935,0.000842946,0.0125,0.0110492
60,0.7625,0.607112,0.000847916,0.0125,0.0110492
61,0.775,0.610232,0.00085286,0.0125,0.0110493
62,0.7875,0.613287,0.00085778,0.0125,0.0110493
63,0.8,0.616272,0.00086267,0.0125,0.0110493
64,0.8125,0.61918,0.000867529,0.0125,0.0110493
65,0.825,0.622004,0.000872356,0.0125,0.0110493
66,0.8375,0.624739,0.000877146,0.0125,0.0110493
67,0.85,0.62738,0.000881898,0.0125,0.0110493
68,0.8625,0.62992,0.00088661,0.0125,0.0110494
69,0.875,0.632355,0.00089128,0.0125,0.0110494
70,0.8875,0.63468,0.000895905,0.0125,0.0110494
71,0.9,0.636891,0.000900483,0.0125,0.0110495
72,0.9125,0.638982,0.000905012,0.0125,0.0110495
73,0.925,0.640951,0.000909491,0.0125,0.0110495
74,0.9375,0.642793,0.000913917,0.0125,0.0110495
75,0.95,0.644505,0.000918289,0.0125,0.0110496
76,0.9625,0.646083,0.000922605,0.0125,0.0110496
77,0.975,0.647526,0.000926862,0.0125,0.0110496
78,0.9875,0.648829,0.00093106,0.0125,0.0110497
79,1,0.64999,0.000935196,0.0125,0.0110497
80,1.0125,0.651009,0.000939269,0.0125,0.0110497
81,1.025,0.651881,0.000943276,0.0125,0.0110497
82,1.0375,0.652607,0.000947218,0.0125,0.0110497
83,1.05,0.653185,0.000951092,0.0125,0.0110497
84,1.0625,0.653613,0.000954896,0.0125,0.0110497
85,1.075,0.653891,0.000958629,0.0125,0.0110497
