Step,Time,Norm_diffusion,Norm_projection,dt,CFL
1,0.2,0.0337821,0.00865712,0.1,0.0110485
2,0.3,0.0331177,0.0127483,0.1,0.0114928
3,0.4,0.0332513,0.00666123,0.1,0.0118637
4,0.5,0.0338167,0.00784771,0.1,0.0113476
5,0.6,0.0349433,0.00527354,0.1,0.011104
6,0.7,0.0363129,0.00773879,0.1,0.0109926
7,0.8,0.0377187,0.00536318,0.1,0.0110875
8,0.9,0.0389635,0.00761905,0.1,0.0110892
9,1,0.039838,0.00636035,0.1,0.0110984
10,1.1,0.0402715,0.00770671,0.1,0.0111119
11,1.2,0.0401773,0.00754676,0.1,0.0111203
12,1.3,0.0395882,0.00758915,0.1,0.0111178
13,1.4,0.0385654,0.00801937,0.1,0.0111115
14,1.5,0.0372445,0.00701278,0.1,0.0111024
15,1.6,0.0358158,0.00737207,0.1,0.0110763
16,1.7,0.0345024,0.00647171,0.1,0.011058
17,1.8,0.0335412,0.00626987,0.1,0.0112335
18,1.9,0.0331164,0.00605519,0.1,0.0116327
19,2,0.0333211,0.00570522,0.1,0.0116978
1,0.1,0.0182047,0.00784465,0.05,0.0110485
2,0.15,0.0178796,0.0115416,0.05,0.0111592
3,0.2,0.0176449,0.00473346,0.05,0.011298
4,0.25,0.0174499,0.00469373,0.05,0.0114928
5,0.3,0.0173409,0.00268559,0.05,0.011744
6,0.35,0.0173128,0.00363205,0.05,0.0118649
7,0.4,0.0173688,0.00252783,0.05,0.0115905
8,0.45,0.0175092,0.00308507,0.05,0.0113722
9,0.5,0.0177207,0.00303169,0.05,0.0112101
10,0.55,0.0179977,0.00292805,0.05,0.011104
11,0.6,0.0183226,0.00345262,0.05,0.0110533
12,0.65,0.0186823,0.00296574,0.05,0.0110493
13,0.7,0.0190604,0.003673,0.05,0.0110596
14,0.75,0.0194404,0.00319222,0.05,0.0110592
15,0.8,0.0198093,0.00378633,0.05,0.0110593
16,0.85,0.0201511,0.00363978,0.05,0.0110598
17,0.9,0.0204562,0.00387339,0.05,0.0110608
18,0.95,0.0207125,0.00415619,0.05,0.0110624
19,1,0.0209131,0.00395408,0.05,0.0110643
20,1.05,0.0210511,0.00450172,0.05,0.0110659
21,1.1,0.0211221,0.00407154,0.05,0.0110669
