Step,Time,Norm_diffusion,Norm_projection,dt,CFL
1,0.2,6.38104,0.0228024,0.1,0.06942
2,0.3,6.12972,0.0235092,0.1,0.0751369
3,0.4,5.88838,0.0185102,0.1,0.0781745
4,0.5,5.65798,0.0164122,0.1,0.0814442
5,0.6,5.43557,0.0150144,0.1,0.0847898
6,0.7,5.22203,0.0138785,0.1,0.0882502
7,0.8,5.01703,0.0127657,0.1,0.0918482
8,0.9,4.82006,0.0118086,0.1,0.0955895
9,1,4.63085,0.0108967,0.1,0.0994843

1,0.1,7.49441,0.0148001,0.05,0.06942
2,0.15,7.34545,0.0174059,0.05,0.0722277
3,0.2,7.19952,0.0113777,0.05,0.0736753
4,0.25,7.05715,0.0101496,0.05,0.0751987
5,0.3,6.91706,0.00961636,0.05,0.076721
6,0.35,6.77986,0.00922625,0.05,0.0782709
7,0.4,6.64542,0.00884367,0.05,0.0798521
8,0.45,6.51365,0.00850507,0.05,0.0814652
9,0.5,6.38449,0.00816988,0.05,0.0831109
10,0.55,6.25791,0.00784918,0.05,0.0847896
11,0.6,6.13384,0.00754173,0.05,0.0865018
12,0.65,6.01224,0.00724588,0.05,0.0882486
13,0.7,5.89305,0.00696197,0.05,0.0900306
14,0.75,5.77623,0.00668907,0.05,0.0918485
15,0.8,5.66173,0.00642688,0.05,0.0937031
16,0.85,5.54951,0.00617498,0.05,0.0955951
17,0.9,5.43951,0.00593294,0.05,0.0975253
18,0.95,5.3317,0.00570039,0.05,0.0994944
19,1,5.22603,0.00547695,0.05,0.101503

1,0.05,10.1224,0.0108197,0.025,0.06942
2,0.075,10.0214,0.0141076,0.025,0.0708158
3,0.1,9.92152,0.00681675,0.025,0.0715229
4,0.125,9.82288,0.00574403,0.025,0.0722531
5,0.15,9.72497,0.00545084,0.025,0.0729793
6,0.175,9.62811,0.00532089,0.025,0.0737127
7,0.2,9.53221,0.00520776,0.025,0.0744536
8,0.225,9.43728,0.00510634,0.025,0.0752018
9,0.25,9.34329,0.00500494,0.025,0.0759576
10,0.275,9.25023,0.00490538,0.025,0.076721
11,0.3,9.15811,0.0048083,0.025,0.0774921
12,0.325,9.0669,0.00471303,0.025,0.0782709
13,0.35,8.97661,0.00461969,0.025,0.0790575
14,0.375,8.88721,0.00452821,0.025,0.0798521
15,0.4,8.79871,0.00443854,0.025,0.0806546
16,0.425,8.71109,0.00435065,0.025,0.0814652
17,0.45,8.62434,0.00426451,0.025,0.0822839
18,0.475,8.53846,0.00418007,0.025,0.0831108
19,0.5,8.45344,0.0040973,0.025,0.083946
20,0.525,8.36926,0.00401618,0.025,0.0847896
21,0.55,8.28592,0.00393666,0.025,0.0856417
22,0.575,8.20342,0.00385872,0.025,0.0865023
23,0.6,8.12173,0.00378232,0.025,0.0873715
24,0.625,8.04087,0.00370743,0.025,0.0882496
25,0.65,7.9608,0.00363403,0.025,0.0891364
26,0.675,7.88154,0.00356208,0.025,0.0900321
27,0.7,7.80306,0.00349155,0.025,0.0909368
28,0.725,7.72537,0.00342242,0.025,0.0918507
29,0.75,7.64846,0.00335466,0.025,0.0927737
30,0.775,7.5723,0.00328824,0.025,0.0937059
31,0.8,7.49691,0.00322314,0.025,0.0946476
32,0.825,7.42227,0.00315932,0.025,0.0955987
33,0.85,7.34838,0.00309677,0.025,0.0965593
34,0.875,7.27522,0.00303546,0.025,0.0975296
35,0.9,7.20279,0.00297536,0.025,0.0985097
36,0.925,7.13108,0.00291645,0.025,0.0994996
37,0.95,7.06009,0.0028587,0.025,0.100499
38,0.975,6.9898,0.0028021,0.025,0.101509
39,1,6.92022,0.00274662,0.025,0.102529

1,0.025,16.4772,0.00869906,0.0125,0.06942
2,0.0375,16.395,0.011855,0.0125,0.0701177
3,0.05,16.3131,0.00412705,0.0125,0.0704692
4,0.0625,16.2318,0.00321838,0.0125,0.0708224
5,0.075,16.1508,0.0029038,0.0125,0.0711774
6,0.0875,16.0702,0.00285745,0.0125,0.0715342
7,0.1,15.99,0.0028265,0.0125,0.0718928
8,0.1125,15.9102,0.002798,0.0125,0.0722531
9,0.125,15.8308,0.00277016,0.0125,0.0726153
10,0.1375,15.7519,0.00274239,0.0125,0.0729793
11,0.15,15.6733,0.00271508,0.0125,0.0733451
12,0.1625,15.5951,0.00268805,0.0125,0.0737127
13,0.175,15.5172,0.00266129,0.0125,0.0740822
14,0.1875,15.4398,0.0026348,0.0125,0.0744536
15,0.2,15.3628,0.00260857,0.0125,0.0748268
16,0.2125,15.2861,0.0025826,0.0125,0.0752018
17,0.225,15.2099,0.0025569,0.0125,0.0755788
18,0.2375,15.134,0.00253146,0.0125,0.0759576
19,0.25,15.0585,0.00250626,0.0125,0.0763384
20,0.2625,14.9833,0.00248132,0.0125,0.076721
21,0.275,14.9086,0.00245663,0.0125,0.0771056
22,0.2875,14.8342,0.00243219,0.0125,0.0774921
23,0.3,14.7602,0.00240798,0.0125,0.0778805
24,0.3125,14.6866,0.00238402,0.0125,0.0782709
25,0.325,14.6133,0.0023603,0.0125,0.0786632
26,0.3375,14.5404,0.00233682,0.0125,0.0790575
27,0.35,14.4678,0.00231356,0.0125,0.0794538
28,0.3625,14.3956,0.00229054,0.0125,0.0798521
29,0.375,14.3238,0.00226775,0.0125,0.0802523
30,0.3875,14.2524,0.00224519,0.0125,0.0806546
31,0.4,14.1813,0.00222285,0.0125,0.0810589
32,0.4125,14.1105,0.00220073,0.0125,0.0814652
33,0.425,14.0401,0.00217883,0.0125,0.0818735
34,0.4375,13.9701,0.00215716,0.0125,0.0822839
35,0.45,13.9004,0.00213569,0.0125,0.0826963
36,0.4625,13.831,0.00211444,0.0125,0.0831108
37,0.475,13.762,0.0020934,0.0125,0.0835274
38,0.4875,13.6933,0.00207257,0.0125,0.0839461
39,0.5,13.625,0.00205195,0.0125,0.0843669
40,0.5125,13.5571,0.00203154,0.0125,0.0847897
41,0.525,13.4894,0.00201132,0.0125,0.0852147
42,0.5375,13.4221,0.00199131,0.0125,0.0856419
43,0.55,13.3552,0.0019715,0.0125,0.0860711
44,0.5625,13.2885,0.00195188,0.0125,0.0865026
