Step,Time,Norm_diffusion,Norm_projection,dt,CFL
1,0.2,1.72413,0.0211481,0.1,0.0722531
2,0.3,1.65669,0.0190793,0.1,0.0751819
3,0.4,1.59189,0.017634,0.1,0.0782542
4,0.5,1.52963,0.0162611,0.1,0.0814751
5,0.6,1.46978,0.0150155,0.1,0.0847853
6,0.7,1.41227,0.0138864,0.1,0.0882411
7,0.8,1.357,0.0128262,0.1,0.0918342
8,0.9,1.30388,0.0118505,0.1,0.095573
9,1,1.25283,0.0109455,0.1,0.099465

1,0.1,3.53965,0.0114168,0.05,0.0708224
2,0.15,3.46961,0.0108663,0.05,0.0722504
3,0.2,3.40096,0.0104285,0.05,0.0737104
4,0.25,3.33366,0.0100183,0.05,0.0752032
5,0.3,3.2677,0.00962475,0.05,0.076721
6,0.35,3.20304,0.00925168,0.05,0.0782705
7,0.4,3.13966,0.00888987,0.05,0.0798512
8,0.45,3.07753,0.00854271,0.05,0.0814637
9,0.5,3.01663,0.00820888,0.05,0.0831087
10,0.55,2.95693,0.00788805,0.05,0.0847868
11,0.6,2.89842,0.0075797,0.05,0.0864987
12,0.65,2.84105,0.00728334,0.05,0.0882452
13,0.7,2.78483,0.00699852,0.05,0.0900268
14,0.75,2.72971,0.00672478,0.05,0.0918444
15,0.8,2.67568,0.0064617,0.05,0.0936987
16,0.85,2.62272,0.00620888,0.05,0.0955903
17,0.9,2.57081,0.00596592,0.05,0.0975201
18,0.95,2.51993,0.00573243,0.05,0.0994889
19,1,2.47005,0.00550805,0.05,0.101497

1,0.05,7.17335,0.00593167,0.025,0.0701177
2,0.075,7.10199,0.00579414,0.025,0.0708221
3,0.1,7.03134,0.00567168,0.025,0.0715339
4,0.125,6.96139,0.00556024,0.025,0.0722533
5,0.15,6.89214,0.0054499,0.025,0.0729793
6,0.175,6.82357,0.00534255,0.025,0.0737128
7,0.2,6.75569,0.00523683,0.025,0.0744536
8,0.225,6.68848,0.00513326,0.025,0.0752018
9,0.25,6.62195,0.00503174,0.025,0.0759576
10,0.275,6.55607,0.00493222,0.025,0.0767209
11,0.3,6.49085,0.00483466,0.025,0.0774919
12,0.325,6.42627,0.00473903,0.025,0.0782706
13,0.35,6.36234,0.00464529,0.025,0.0790572
14,0.375,6.29905,0.0045534,0.025,0.0798517
15,0.4,6.23638,0.00446332,0.025,0.0806541
16,0.425,6.17434,0.00437503,0.025,0.0814646
17,0.45,6.11291,0.00428847,0.025,0.0822832
18,0.475,6.0521,0.00420363,0.025,0.0831101
19,0.5,5.99189,0.00412046,0.025,0.0839453
20,0.525,5.93228,0.00403894,0.025,0.0847888
21,0.55,5.87326,0.00395903,0.025,0.0856408
22,0.575,5.81483,0.00388069,0.025,0.0865014
23,0.6,5.75698,0.0038039,0.025,0.0873707
24,0.625,5.6997,0.00372864,0.025,0.0882486
25,0.65,5.643,0.00365485,0.025,0.0891354
26,0.675,5.58685,0.00358253,0.025,0.0900311
27,0.7,5.53127,0.00351164,0.025,0.0909358
28,0.725,5.47624,0.00344214,0.025,0.0918495
29,0.75,5.42176,0.00337403,0.025,0.0927725
30,0.775,5.36782,0.00330725,0.025,0.0937047
31,0.8,5.31441,0.0032418,0.025,0.0946463
32,0.825,5.26154,0.00317764,0.025,0.0955974
33,0.85,5.20919,0.00311476,0.025,0.096558
34,0.875,5.15736,0.00305311,0.025,0.0975283
35,0.9,5.10605,0.00299268,0.025,0.0985083
36,0.925,5.05525,0.00293345,0.025,0.0994981
37,0.95,5.00496,0.00287539,0.025,0.100498
38,0.975,4.95516,0.00281848,0.025,0.101508
39,1,4.90586,0.00276269,0.025,0.102528

1,0.025,14.4422,0.00302327,0.0125,0.069768
2,0.0375,14.3701,0.00299104,0.0125,0.0701177
3,0.05,14.2985,0.00295727,0.0125,0.0704692
4,0.0625,14.2272,0.00292854,0.0125,0.0708224
5,0.075,14.1562,0.00289936,0.0125,0.0711774
6,0.0875,14.0856,0.00287058,0.0125,0.0715342
7,0.1,14.0154,0.00284202,0.0125,0.0718928
8,0.1125,13.9455,0.00281375,0.0125,0.0722531
9,0.125,13.8759,0.00278577,0.0125,0.0726153
10,0.1375,13.8067,0.00275806,0.0125,0.0729793
11,0.15,13.7379,0.00273062,0.0125,0.0733451
12,0.1625,13.6693,0.00270346,0.0125,0.0737127
13,0.175,13.6012,0.00267657,0.0125,0.0740822
14,0.1875,13.5333,0.00264995,0.0125,0.0744536
15,0.2,13.4658,0.00262359,0.0125,0.0748268
16,0.2125,13.3987,0.00259749,0.0125,0.0752018
17,0.225,13.3319,0.00257165,0.0125,0.0755788
18,0.2375,13.2654,0.00254607,0.0125,0.0759576
19,0.25,13.1992,0.00252075,0.0125,0.0763383
20,0.2625,13.1334,0.00249567,0.0125,0.076721
21,0.275,13.0679,0.00247085,0.0125,0.0771055
22,0.2875,13.0027,0.00244627,0.0125,0.077492
23,0.3,12.9379,0.00242193,0.0125,0.0778804
24,0.3125,12.8733,0.00239784,0.0125,0.0782708
25,0.325,12.8091,0.00237399,0.0125,0.0786631
26,0.3375,12.7452,0.00235037,0.0125,0.0790574
27,0.35,12.6817,0.00232699,0.0125,0.0794537
28,0.3625,12.6184,0.00230384,0.0125,0.0798519
29,0.375,12.5555,0.00228093,0.0125,0.0802522
30,0.3875,12.4929,0.00225824,0.0125,0.0806544
31,0.4,12.4306,0.00223577,0.0125,0.0810587
32,0.4125,12.3686,0.00221353,0.0125,0.081465
33,0.425,12.3069,0.00219151,0.0125,0.0818733
34,0.4375,12.2455,0.00216971,0.0125,0.0822837
35,0.45,12.1844,0.00214812,0.0125,0.0826962
36,0.4625,12.1237,0.00212676,0.0125,0.0831107
37,0.475,12.0632,0.0021056,0.0125,0.0835272
38,0.4875,12.0031,0.00208465,0.0125,0.0839459
39,0.5,11.9432,0.00206391,0.0125,0.0843667
40,0.5125,11.8836,0.00204338,0.0125,0.0847895
41,0.525,11.8244,0.00202305,0.0125,0.0852145
42,0.5375,11.7654,0.00200293,0.0125,0.0856417
43,0.55,11.7067,0.001983,0.0125,0.0860709
44,0.5625,11.6483,0.00196327,0.0125,0.0865023
45,0.575,11.5902,0.00194374,0.0125,0.0869359
46,0.5875,11.5324,0.00192441,0.0125,0.0873717
47,0.6,11.4749,0.00190526,0.0125,0.0878096
48,0.6125,11.4177,0.00188631,0.0125,0.0882497
49,0.625,11.3607,0.00186754,0.0125,0.0886921
50,0.6375,11.3041,0.00184896,0.0125,0.0891366
51,0.65,11.2477,0.00183057,0.0125,0.0895834
52,0.6625,11.1916,0.00181236,0.0125,0.0900324
53,0.675,11.1358,0.00179433,0.0125,0.0904837
54,0.6875,11.0802,0.00177647,0.0125,0.0909372
55,0.7,11.025,0.0017588,0.0125,0.0913931
56,0.7125,10.97,0.0017413,0.0125,0.0918511
57,0.725,10.9153,0.00172398,0.0125,0.0923115
58,0.7375,10.8608,0.00170683,0.0125,0.0927742
59,0.75,10.8067,0.00168985,0.0125,0.0932392
60,0.7625,10.7528,0.00167304,0.0125,0.0937066
61,0.775,10.6992,0.00165639,0.0125,0.0941763
62,0.7875,10.6458,0.00163991,0.0125,0.0946483
63,0.8,10.5927,0.0016236,0.0125,0.0951227
64,0.8125,10.5399,0.00160744,0.0125,0.0955995
65,0.825,10.4873,0.00159145,0.0125,0.0960787
66,0.8375,10.435,0.00157562,0.0125,0.0965603
67,0.85,10.383,0.00155994,0.0125,0.0970442
68,0.8625,10.3312,0.00154442,0.0125,0.0975307
69,0.875,10.2796,0.00152906,0.0125,0.0980195
70,0.8875,10.2284,0.00151385,0.0125,0.0985108
71,0.9,10.1774,0.00149878,0.0125,0.0990046
72,0.9125,10.1266,0.00148387,0.0125,0.0995008
73,0.925,10.0761,0.00146911,0.0125,0.0999995
74,0.9375,10.0258,0.00145449,0.0125,0.100501
75,0.95,9.97585,0.00144002,0.0125,0.101005
76,0.9625,9.92609,0.0014257,0.0125,0.101511
77,0.975,9.87659,0.00141151,0.0125,0.10202
78,0.9875,9.82733,0.00139747,0.0125,0.102531
79,1,9.77832,0.00138356,0.0125,0.103045

1,0.0125,28.9805,0.00152622,0.00625,0.0695938
2,0.01875,28.9082,0.00151946,0.00625,0.069768
3,0.025,28.836,0.00150989,0.00625,0.0699426
4,0.03125,28.764,0.00150274,0.00625,0.0701177
5,0.0375,28.6922,0.00149524,0.00625,0.0702932
6,0.04375,28.6205,0.00148779,0.00625,0.0704692
