Step,Time,Norm_diffusion,Norm_projection,dt,CFL
1,0.2,0.638104,0.0228024,0.1,0.06942
2,0.3,0.612972,0.0235092,0.1,0.0751369
3,0.4,0.588838,0.0185102,0.1,0.0781745
4,0.5,0.565798,0.0164122,0.1,0.0814442
5,0.6,0.543557,0.0150144,0.1,0.0847898
6,0.7,0.522203,0.0138785,0.1,0.0882502
7,0.8,0.501703,0.0127657,0.1,0.0918482
8,0.9,0.482006,0.0118086,0.1,0.0955895
9,1,0.463085,0.0108967,0.1,0.0994843

1,0.1,0.37472,0.0148001,0.05,0.06942
2,0.15,0.367272,0.0174059,0.05,0.0722277
3,0.2,0.359976,0.0113777,0.05,0.0736753
4,0.25,0.352858,0.0101496,0.05,0.0751987
5,0.3,0.345853,0.00961636,0.05,0.076721
6,0.35,0.338993,0.00922625,0.05,0.0782709
7,0.4,0.332271,0.00884367,0.05,0.0798521
8,0.45,0.325682,0.00850507,0.05,0.0814652
9,0.5,0.319225,0.00816989,0.05,0.0831109
10,0.55,0.312895,0.00784918,0.05,0.0847896
11,0.6,0.306692,0.00754173,0.05,0.0865018
12,0.65,0.300612,0.00724588,0.05,0.0882486
13,0.7,0.294652,0.00696197,0.05,0.0900306
14,0.75,0.288811,0.00668907,0.05,0.0918485
15,0.8,0.283087,0.00642688,0.05,0.0937031
16,0.85,0.277475,0.00617498,0.05,0.0955951
17,0.9,0.271976,0.00593294,0.05,0.0975253
18,0.95,0.266585,0.00570039,0.05,0.0994944
19,1,0.261301,0.00547695,0.05,0.101503

1,0.05,0.253059,0.0108197,0.025,0.06942
2,0.075,0.250536,0.0141076,0.025,0.0708158
3,0.1,0.248038,0.00681675,0.025,0.0715229
4,0.125,0.245572,0.00574403,0.025,0.0722531
5,0.15,0.243124,0.00545084,0.025,0.0729793
6,0.175,0.240703,0.00532089,0.025,0.0737127
7,0.2,0.238305,0.00520776,0.025,0.0744536
8,0.225,0.235932,0.00510634,0.025,0.0752018
9,0.25,0.233582,0.00500494,0.025,0.0759576
10,0.275,0.231256,0.00490538,0.025,0.076721
11,0.3,0.228953,0.0048083,0.025,0.0774921
12,0.325,0.226673,0.00471303,0.025,0.0782709
13,0.35,0.224415,0.00461969,0.025,0.0790575
14,0.375,0.22218,0.00452821,0.025,0.0798521
15,0.4,0.219968,0.00443854,0.025,0.0806546
16,0.425,0.217777,0.00435065,0.025,0.0814652
17,0.45,0.215609,0.00426451,0.025,0.0822839
18,0.475,0.213462,0.00418007,0.025,0.0831108
19,0.5,0.211336,0.00409731,0.025,0.083946
20,0.525,0.209232,0.00401618,0.025,0.0847896
21,0.55,0.207148,0.00393666,0.025,0.0856417
22,0.575,0.205085,0.00385872,0.025,0.0865023
23,0.6,0.203043,0.00378232,0.025,0.0873716
24,0.625,0.201022,0.00370743,0.025,0.0882496
25,0.65,0.19902,0.00363403,0.025,0.0891364
26,0.675,0.197038,0.00356208,0.025,0.0900321
27,0.7,0.195077,0.00349155,0.025,0.0909368
28,0.725,0.193134,0.00342242,0.025,0.0918507
29,0.75,0.191211,0.00335466,0.025,0.0927737
30,0.775,0.189308,0.00328824,0.025,0.0937059
31,0.8,0.187423,0.00322314,0.025,0.0946476
32,0.825,0.185557,0.00315932,0.025,0.0955987
33,0.85,0.183709,0.00309677,0.025,0.0965593
34,0.875,0.18188,0.00303546,0.025,0.0975296
35,0.9,0.18007,0.00297536,0.025,0.0985097
36,0.925,0.178277,0.00291645,0.025,0.0994996
37,0.95,0.176502,0.0028587,0.025,0.100499
38,0.975,0.174745,0.0028021,0.025,0.101509
39,1,0.173005,0.00274662,0.025,0.102529

1,0.025,0.205965,0.00869906,0.0125,0.06942
2,0.0375,0.204937,0.011855,0.0125,0.0701177
3,0.05,0.203914,0.00412705,0.0125,0.0704692
4,0.0625,0.202897,0.00321838,0.0125,0.0708224
5,0.075,0.201885,0.0029038,0.0125,0.0711774
6,0.0875,0.200877,0.00285745,0.0125,0.0715342
7,0.1,0.199875,0.0028265,0.0125,0.0718928
8,0.1125,0.198878,0.002798,0.0125,0.0722531
9,0.125,0.197886,0.00277016,0.0125,0.0726153
10,0.1375,0.196898,0.00274239,0.0125,0.0729793
11,0.15,0.195916,0.00271508,0.0125,0.0733451
12,0.1625,0.194938,0.00268805,0.0125,0.0737127
13,0.175,0.193966,0.00266129,0.0125,0.0740822
14,0.1875,0.192998,0.00263479,0.0125,0.0744536
15,0.2,0.192035,0.00260857,0.0125,0.0748268
16,0.2125,0.191077,0.0025826,0.0125,0.0752018
17,0.225,0.190123,0.0025569,0.0125,0.0755788
18,0.2375,0.189175,0.00253146,0.0125,0.0759576
19,0.25,0.188231,0.00250626,0.0125,0.0763384
20,0.2625,0.187292,0.00248132,0.0125,0.076721
21,0.275,0.186357,0.00245663,0.0125,0.0771056
22,0.2875,0.185428,0.00243219,0.0125,0.0774921
23,0.3,0.184502,0.00240798,0.0125,0.0778805
24,0.3125,0.183582,0.00238402,0.0125,0.0782709
25,0.325,0.182666,0.0023603,0.0125,0.0786632
26,0.3375,0.181755,0.00233682,0.0125,0.0790575
27,0.35,0.180848,0.00231356,0.0125,0.0794538
28,0.3625,0.179946,0.00229054,0.0125,0.0798521
29,0.375,0.179048,0.00226775,0.0125,0.0802523
30,0.3875,0.178154,0.00224519,0.0125,0.0806546
31,0.4,0.177266,0.00222285,0.0125,0.0810589
32,0.4125,0.176381,0.00220073,0.0125,0.0814652
33,0.425,0.175501,0.00217883,0.0125,0.0818735
34,0.4375,0.174626,0.00215716,0.0125,0.0822839
35,0.45,0.173754,0.00213569,0.0125,0.0826963
36,0.4625,0.172888,0.00211444,0.0125,0.0831108
37,0.475,0.172025,0.0020934,0.0125,0.0835274
38,0.4875,0.171167,0.00207257,0.0125,0.0839461
