Step,Time,Norm_diffusion,Norm_projection,dt,CFL
1,0.2,0.172413,0.0211481,0.1,0.0722531
2,0.3,0.165669,0.0190793,0.1,0.0751819
3,0.4,0.159189,0.017634,0.1,0.0782542
4,0.5,0.152963,0.0162611,0.1,0.0814751
5,0.6,0.146978,0.0150155,0.1,0.0847853
6,0.7,0.141227,0.0138864,0.1,0.0882411
7,0.8,0.1357,0.0128262,0.1,0.0918342
8,0.9,0.130388,0.0118505,0.1,0.095573
9,1,0.125283,0.0109455,0.1,0.099465

1,0.1,0.176982,0.0114168,0.05,0.0708224
2,0.15,0.17348,0.0108663,0.05,0.0722504
3,0.2,0.170048,0.0104285,0.05,0.0737104
4,0.25,0.166683,0.0100183,0.05,0.0752032
5,0.3,0.163385,0.00962475,0.05,0.076721
6,0.35,0.160152,0.00925168,0.05,0.0782705
7,0.4,0.156983,0.00888987,0.05,0.0798512
8,0.45,0.153877,0.00854271,0.05,0.0814637
9,0.5,0.150832,0.00820888,0.05,0.0831087
10,0.55,0.147847,0.00788804,0.05,0.0847868
11,0.6,0.144921,0.00757971,0.05,0.0864987
12,0.65,0.142053,0.00728334,0.05,0.0882452
13,0.7,0.139241,0.00699852,0.05,0.0900268
14,0.75,0.136485,0.00672478,0.05,0.0918444
15,0.8,0.133784,0.0064617,0.05,0.0936987
16,0.85,0.131136,0.00620888,0.05,0.0955903
17,0.9,0.128541,0.00596592,0.05,0.0975201
18,0.95,0.125996,0.00573243,0.05,0.0994889
19,1,0.123502,0.00550805,0.05,0.101497

1,0.05,0.179334,0.00593166,0.025,0.0701177
2,0.075,0.17755,0.00579414,0.025,0.0708221
3,0.1,0.175783,0.00567168,0.025,0.0715339
4,0.125,0.174035,0.00556024,0.025,0.0722533
5,0.15,0.172303,0.00544989,0.025,0.0729793
6,0.175,0.170589,0.00534255,0.025,0.0737128
7,0.2,0.168892,0.00523683,0.025,0.0744536
8,0.225,0.167212,0.00513326,0.025,0.0752018
9,0.25,0.165549,0.00503174,0.025,0.0759576
10,0.275,0.163902,0.00493222,0.025,0.0767209
11,0.3,0.162271,0.00483466,0.025,0.0774919
12,0.325,0.160657,0.00473903,0.025,0.0782706
13,0.35,0.159059,0.00464529,0.025,0.0790572
14,0.375,0.157476,0.0045534,0.025,0.0798517
15,0.4,0.15591,0.00446332,0.025,0.0806541
16,0.425,0.154358,0.00437503,0.025,0.0814646
17,0.45,0.152823,0.00428847,0.025,0.0822832
18,0.475,0.151302,0.00420363,0.025,0.0831101
19,0.5,0.149797,0.00412046,0.025,0.0839453
20,0.525,0.148307,0.00403894,0.025,0.0847888
21,0.55,0.146831,0.00395903,0.025,0.0856408
22,0.575,0.145371,0.00388069,0.025,0.0865014
23,0.6,0.143924,0.0038039,0.025,0.0873707
24,0.625,0.142493,0.00372864,0.025,0.0882486
25,0.65,0.141075,0.00365485,0.025,0.0891354
26,0.675,0.139671,0.00358253,0.025,0.0900311
27,0.7,0.138282,0.00351164,0.025,0.0909358
28,0.725,0.136906,0.00344214,0.025,0.0918495
29,0.75,0.135544,0.00337403,0.025,0.0927725
30,0.775,0.134195,0.00330725,0.025,0.0937047
31,0.8,0.13286,0.0032418,0.025,0.0946463
32,0.825,0.131538,0.00317764,0.025,0.0955974
33,0.85,0.13023,0.00311476,0.025,0.096558
34,0.875,0.128934,0.00305311,0.025,0.0975283
35,0.9,0.127651,0.00299268,0.025,0.0985083
36,0.925,0.126381,0.00293345,0.025,0.0994981
37,0.95,0.125124,0.00287539,0.025,0.100498
38,0.975,0.123879,0.00281847,0.025,0.101508
39,1,0.122647,0.00276269,0.025,0.102528

1,0.025,0.180527,0.00302327,0.0125,0.069768
2,0.0375,0.179627,0.00299104,0.0125,0.0701177
3,0.05,0.178731,0.00295727,0.0125,0.0704692
4,0.0625,0.17784,0.00292854,0.0125,0.0708224
5,0.075,0.176953,0.00289936,0.0125,0.0711774
6,0.0875,0.17607,0.00287058,0.0125,0.0715342
7,0.1,0.175192,0.00284202,0.0125,0.0718928
8,0.1125,0.174318,0.00281375,0.0125,0.0722531
9,0.125,0.173449,0.00278577,0.0125,0.0726153
10,0.1375,0.172584,0.00275806,0.0125,0.0729793
